614)swap count : 11460, And comparison : 5730
615)swap count : 11482, And comparison : 5741
616)swap count : 11504, And comparison : 5752
617)swap count : 11526, And comparison : 5763
618)swap count : 11548, And comparison : 5774
619)swap count : 11570, And comparison : 5785
620)swap count : 11592, And comparison : 5796
621)swap count : 11614, And comparison : 5807
622)swap count : 11636, And comparison : 5818
623)swap count : 11658, And comparison : 5829
624)swap count : 11680, And comparison : 5840
625)swap count : 11702, And comparison : 5851
626)swap count : 11724, And comparison : 5862
627)swap count : 11746, And comparison : 5873
628)swap count : 11768, And comparison : 5884
629)swap count : 11790, And comparison : 5895
630)swap count : 11812, And comparison : 5906
631)swap count : 11834, And comparison : 5917
632)swap count : 11856, And comparison : 5928
633)swap count : 11878, And comparison : 5939
634)swap count : 11900, And comparison : 5950
635)swap count : 11922, And comparison : 5961
636)swap count : 11944, And comparison : 5972
637)swap count : 11966, And comparison : 5983
638)swap count : 11988, And comparison : 5994
639)swap count : 12010, And comparison : 6005
640)swap count : 12032, And comparison : 6016
641)swap count : 12054, And comparison : 6027
642)swap count : 12076, And comparison : 6038
643)swap count : 12098, And comparison : 6049
644)swap count : 12120, And comparison : 6060
645)swap count : 12142, And comparison : 6071
646)swap count : 12164, And comparison : 6082
647)swap count : 12186, And comparison : 6093
648)swap count : 12208, And comparison : 6104
649)swap count : 12230, And comparison : 6115
650)swap count : 12252, And comparison : 6126
651)swap count : 12274, And comparison : 6137
652)swap count : 12296, And comparison : 6148
653)swap count : 12318, And comparison : 6159
654)swap count : 12340, And comparison : 6170
655)swap count : 12362, And comparison : 6181
656)swap count : 12384, And comparison : 6192
657)swap count : 12406, And comparison : 6203
658)swap count : 12428, And comparison : 6214
659)swap count : 12450, And comparison : 6225
660)swap count : 12472, And comparison : 6236
661)swap count : 12494, And comparison : 6247
662)swap count : 12516, And comparison : 6258
663)swap count : 12538, And comparison : 6269
664)swap count : 12560, And comparison : 6280
665)swap count : 12582, And comparison : 6291
666)swap count : 12604, And comparison : 6302
667)swap count : 12626, And comparison : 6313
668)swap count : 12648, And comparison : 6324
669)swap count : 12670, And comparison : 6335
670)swap count : 12692, And comparison : 6346
671)swap count : 12714, And comparison : 6357
672)swap count : 12736, And comparison : 6368
673)swap count : 12758, And comparison : 6379
674)swap count : 12780, And comparison : 6390
675)swap count : 12802, And comparison : 6401
676)swap count : 12824, And comparison : 6412
677)swap count : 12846, And comparison : 6423
678)swap count : 12868, And comparison : 6434
679)swap count : 12890, And comparison : 6445
680)swap count : 12912, And comparison : 6456
681)swap count : 12934, And comparison : 6467
682)swap count : 12956, And comparison : 6478
683)swap count : 12978, And comparison : 6489
684)swap count : 13000, And comparison : 6500
685)swap count : 13022, And comparison : 6511
686)swap count : 13044, And comparison : 6522
687)swap count : 13066, And comparison : 6533
688)swap count : 13088, And comparison : 6544
689)swap count : 13110, And comparison : 6555
690)swap count : 13132, And comparison : 6566
691)swap count : 13154, And comparison : 6577
692)swap count : 13176, And comparison : 6588
693)swap count : 13198, And comparison : 6599
694)swap count : 13220, And comparison : 6610
695)swap count : 13242, And comparison : 6621
696)swap count : 13264, And comparison : 6632
697)swap count : 13286, And comparison : 6643
698)swap count : 13308, And comparison : 6654
699)swap count : 13330, And comparison : 6665
700)swap count : 13352, And comparison : 6676
